dataset,fpr,tpr,threshold,auc
BIPIA,0.0,0.0,-inf,0.5383586805555555
BIPIA,0.0,0.0,-1.5145158767700195,0.5383586805555555
BIPIA,0.0008333333333333334,0.0008333333333333334,-1.3543086051940918,0.5383586805555555
BIPIA,0.0008333333333333334,0.0016666666666666668,-1.333331823348999,0.5383586805555555
BIPIA,0.0016666666666666668,0.0016666666666666668,-1.1145555973052979,0.5383586805555555
BIPIA,0.0025,0.0025,-1.1035298109054565,0.5383586805555555
BIPIA,0.0033333333333333335,0.0025,-1.0980393886566162,0.5383586805555555
BIPIA,0.0033333333333333335,0.0033333333333333335,-1.008475661277771,0.5383586805555555
BIPIA,0.0033333333333333335,0.004166666666666667,-0.95416659116745,0.5383586805555555
BIPIA,0.004166666666666667,0.005,-0.94864422082901,0.5383586805555555
BIPIA,0.004166666666666667,0.005833333333333334,-0.9368162751197815,0.5383586805555555
BIPIA,0.004166666666666667,0.006666666666666667,-0.9252141118049622,0.5383586805555555
BIPIA,0.004166666666666667,0.0075,-0.9198605418205261,0.5383586805555555
BIPIA,0.004166666666666667,0.008333333333333333,-0.9161734580993652,0.5383586805555555
BIPIA,0.004166666666666667,0.009166666666666667,-0.8863030672073364,0.5383586805555555
BIPIA,0.004166666666666667,0.01,-0.8622088432312012,0.5383586805555555
BIPIA,0.004166666666666667,0.010833333333333334,-0.8604030013084412,0.5383586805555555
BIPIA,0.005,0.010833333333333334,-0.8590074777603149,0.5383586805555555
BIPIA,0.005833333333333334,0.010833333333333334,-0.8453890681266785,0.5383586805555555
BIPIA,0.005833333333333334,0.011666666666666667,-0.8453225493431091,0.5383586805555555
BIPIA,0.006666666666666667,0.0125,-0.8333138823509216,0.5383586805555555
BIPIA,0.006666666666666667,0.013333333333333334,-0.8313091397285461,0.5383586805555555
BIPIA,0.0075,0.013333333333333334,-0.8259016275405884,0.5383586805555555
BIPIA,0.008333333333333333,0.013333333333333334,-0.8218347430229187,0.5383586805555555
BIPIA,0.009166666666666667,0.013333333333333334,-0.8137855529785156,0.5383586805555555
BIPIA,0.01,0.013333333333333334,-0.8046699166297913,0.5383586805555555
BIPIA,0.01,0.014166666666666666,-0.803416907787323,0.5383586805555555
BIPIA,0.01,0.015,-0.7896216511726379,0.5383586805555555
BIPIA,0.01,0.015833333333333335,-0.7855060696601868,0.5383586805555555
BIPIA,0.010833333333333334,0.016666666666666666,-0.7733573913574219,0.5383586805555555
BIPIA,0.010833333333333334,0.0175,-0.7594864964485168,0.5383586805555555
BIPIA,0.011666666666666667,0.0175,-0.7521408200263977,0.5383586805555555
BIPIA,0.011666666666666667,0.018333333333333333,-0.7506433129310608,0.5383586805555555
BIPIA,0.0125,0.018333333333333333,-0.7491587996482849,0.5383586805555555
BIPIA,0.0125,0.019166666666666665,-0.7470985054969788,0.5383586805555555
BIPIA,0.0125,0.02,-0.7462872862815857,0.5383586805555555
BIPIA,0.013333333333333334,0.02,-0.741205096244812,0.5383586805555555
BIPIA,0.013333333333333334,0.020833333333333332,-0.7293256521224976,0.5383586805555555
BIPIA,0.013333333333333334,0.021666666666666667,-0.7238517999649048,0.5383586805555555
BIPIA,0.014166666666666666,0.021666666666666667,-0.7234176397323608,0.5383586805555555
BIPIA,0.014166666666666666,0.0225,-0.7226808667182922,0.5383586805555555
BIPIA,0.015,0.0225,-0.7210204005241394,0.5383586805555555
BIPIA,0.015,0.023333333333333334,-0.7174558639526367,0.5383586805555555
BIPIA,0.015,0.024166666666666666,-0.7114197611808777,0.5383586805555555
BIPIA,0.015833333333333335,0.024166666666666666,-0.7096441388130188,0.5383586805555555
BIPIA,0.016666666666666666,0.024166666666666666,-0.7058500647544861,0.5383586805555555
BIPIA,0.016666666666666666,0.025,-0.7017947435379028,0.5383586805555555
BIPIA,0.016666666666666666,0.025833333333333333,-0.6946962475776672,0.5383586805555555
BIPIA,0.0175,0.025833333333333333,-0.6937332153320312,0.5383586805555555
BIPIA,0.018333333333333333,0.025833333333333333,-0.6932069659233093,0.5383586805555555
BIPIA,0.018333333333333333,0.02666666666666667,-0.6931810975074768,0.5383586805555555
BIPIA,0.019166666666666665,0.02666666666666667,-0.6897549033164978,0.5383586805555555
BIPIA,0.019166666666666665,0.0275,-0.6834859848022461,0.5383586805555555
BIPIA,0.019166666666666665,0.028333333333333332,-0.6833403706550598,0.5383586805555555
BIPIA,0.019166666666666665,0.029166666666666667,-0.6773238182067871,0.5383586805555555
BIPIA,0.02,0.029166666666666667,-0.6752755045890808,0.5383586805555555
BIPIA,0.020833333333333332,0.029166666666666667,-0.6707369089126587,0.5383586805555555
BIPIA,0.021666666666666667,0.029166666666666667,-0.6676791310310364,0.5383586805555555
BIPIA,0.021666666666666667,0.03,-0.6659616231918335,0.5383586805555555
BIPIA,0.0225,0.030833333333333334,-0.6541314721107483,0.5383586805555555
BIPIA,0.0225,0.03166666666666667,-0.6488111615180969,0.5383586805555555
BIPIA,0.023333333333333334,0.0325,-0.6487851738929749,0.5383586805555555
BIPIA,0.024166666666666666,0.03333333333333333,-0.644719123840332,0.5383586805555555
BIPIA,0.025,0.034166666666666665,-0.6420272588729858,0.5383586805555555
BIPIA,0.025,0.035,-0.6416625380516052,0.5383586805555555
BIPIA,0.025,0.035833333333333335,-0.640602707862854,0.5383586805555555
BIPIA,0.025833333333333333,0.035833333333333335,-0.6380025744438171,0.5383586805555555
BIPIA,0.02666666666666667,0.03666666666666667,-0.6356207728385925,0.5383586805555555
BIPIA,0.02666666666666667,0.0375,-0.631069004535675,0.5383586805555555
BIPIA,0.02666666666666667,0.03833333333333333,-0.6308698654174805,0.5383586805555555
BIPIA,0.02666666666666667,0.03916666666666667,-0.6277870535850525,0.5383586805555555
BIPIA,0.0275,0.03916666666666667,-0.6255626678466797,0.5383586805555555
BIPIA,0.028333333333333332,0.03916666666666667,-0.6153879165649414,0.5383586805555555
BIPIA,0.029166666666666667,0.03916666666666667,-0.6145665049552917,0.5383586805555555
BIPIA,0.03,0.03916666666666667,-0.6137331128120422,0.5383586805555555
BIPIA,0.030833333333333334,0.03916666666666667,-0.6122612953186035,0.5383586805555555
BIPIA,0.030833333333333334,0.04,-0.6093633770942688,0.5383586805555555
BIPIA,0.03166666666666667,0.04,-0.608497679233551,0.5383586805555555
BIPIA,0.0325,0.04,-0.6068117022514343,0.5383586805555555
BIPIA,0.0325,0.04083333333333333,-0.6068081259727478,0.5383586805555555
BIPIA,0.03333333333333333,0.04083333333333333,-0.6063584685325623,0.5383586805555555
BIPIA,0.034166666666666665,0.04083333333333333,-0.6016879677772522,0.5383586805555555
BIPIA,0.035,0.041666666666666664,-0.5999265909194946,0.5383586805555555
BIPIA,0.035,0.0425,-0.5961514711380005,0.5383586805555555
BIPIA,0.035833333333333335,0.043333333333333335,-0.5949788689613342,0.5383586805555555
BIPIA,0.035833333333333335,0.04416666666666667,-0.5895747542381287,0.5383586805555555
BIPIA,0.035833333333333335,0.045,-0.5871302485466003,0.5383586805555555
BIPIA,0.035833333333333335,0.04583333333333333,-0.5847145915031433,0.5383586805555555
BIPIA,0.03666666666666667,0.04666666666666667,-0.5841193199157715,0.5383586805555555
BIPIA,0.03666666666666667,0.0475,-0.5839853286743164,0.5383586805555555
BIPIA,0.0375,0.04833333333333333,-0.583038866519928,0.5383586805555555
BIPIA,0.0375,0.049166666666666664,-0.5828781723976135,0.5383586805555555
BIPIA,0.03833333333333333,0.049166666666666664,-0.5824695229530334,0.5383586805555555
BIPIA,0.03833333333333333,0.05,-0.5779023766517639,0.5383586805555555
BIPIA,0.03833333333333333,0.050833333333333335,-0.5778234601020813,0.5383586805555555
BIPIA,0.03916666666666667,0.051666666666666666,-0.5752598643302917,0.5383586805555555
BIPIA,0.04,0.051666666666666666,-0.5719574689865112,0.5383586805555555
BIPIA,0.04,0.0525,-0.5714263916015625,0.5383586805555555
BIPIA,0.04,0.05333333333333334,-0.5680568218231201,0.5383586805555555
BIPIA,0.04083333333333333,0.05333333333333334,-0.5673472285270691,0.5383586805555555
BIPIA,0.041666666666666664,0.05333333333333334,-0.5645619630813599,0.5383586805555555
BIPIA,0.0425,0.05333333333333334,-0.562540590763092,0.5383586805555555
BIPIA,0.043333333333333335,0.05333333333333334,-0.5605969429016113,0.5383586805555555
BIPIA,0.043333333333333335,0.05416666666666667,-0.5590876936912537,0.5383586805555555
BIPIA,0.04416666666666667,0.05416666666666667,-0.5571073293685913,0.5383586805555555
BIPIA,0.045,0.055,-0.5570362210273743,0.5383586805555555
BIPIA,0.04583333333333333,0.055,-0.5547626614570618,0.5383586805555555
BIPIA,0.04666666666666667,0.055,-0.5542982220649719,0.5383586805555555
BIPIA,0.0475,0.055,-0.5527447462081909,0.5383586805555555
BIPIA,0.0475,0.05583333333333333,-0.5513918399810791,0.5383586805555555
BIPIA,0.04833333333333333,0.05583333333333333,-0.5492262244224548,0.5383586805555555
BIPIA,0.049166666666666664,0.05583333333333333,-0.543583333492279,0.5383586805555555
BIPIA,0.05,0.05583333333333333,-0.5409385561943054,0.5383586805555555
BIPIA,0.050833333333333335,0.056666666666666664,-0.5364369750022888,0.5383586805555555
BIPIA,0.051666666666666666,0.056666666666666664,-0.5337832570075989,0.5383586805555555
BIPIA,0.051666666666666666,0.0575,-0.5314235687255859,0.5383586805555555
BIPIA,0.0525,0.058333333333333334,-0.5301473736763,0.5383586805555555
BIPIA,0.0525,0.059166666666666666,-0.5299960970878601,0.5383586805555555
BIPIA,0.0525,0.06,-0.5246780514717102,0.5383586805555555
BIPIA,0.0525,0.060833333333333336,-0.5238715410232544,0.5383586805555555
BIPIA,0.05333333333333334,0.060833333333333336,-0.5234692692756653,0.5383586805555555
