dataset,fpr,tpr,threshold,auc
BIPIA,0.0,0.0,-inf,0.9559239583333382
BIPIA,0.0,0.0,-3.7133169174194336,0.9559239583333382
BIPIA,0.0,0.0008333333333333334,-3.632103681564331,0.9559239583333382
BIPIA,0.0,0.0016666666666666668,-3.5558388233184814,0.9559239583333382
BIPIA,0.0,0.0025,-3.5361502170562744,0.9559239583333382
BIPIA,0.0,0.0033333333333333335,-3.363651752471924,0.9559239583333382
BIPIA,0.0,0.004166666666666667,-3.263655662536621,0.9559239583333382
BIPIA,0.0,0.005,-3.24415922164917,0.9559239583333382
BIPIA,0.0,0.005833333333333334,-3.147940158843994,0.9559239583333382
BIPIA,0.0,0.006666666666666667,-3.0967531204223633,0.9559239583333382
BIPIA,0.0,0.0075,-3.0917892456054688,0.9559239583333382
BIPIA,0.0,0.008333333333333333,-3.091176986694336,0.9559239583333382
BIPIA,0.0,0.009166666666666667,-3.067615509033203,0.9559239583333382
BIPIA,0.0,0.01,-3.046459913253784,0.9559239583333382
BIPIA,0.0,0.010833333333333334,-3.0262041091918945,0.9559239583333382
BIPIA,0.0,0.011666666666666667,-3.0127720832824707,0.9559239583333382
BIPIA,0.0,0.0125,-3.006192684173584,0.9559239583333382
BIPIA,0.0,0.013333333333333334,-3.0052385330200195,0.9559239583333382
BIPIA,0.0,0.014166666666666666,-2.999696969985962,0.9559239583333382
BIPIA,0.0,0.015,-2.9878344535827637,0.9559239583333382
BIPIA,0.0,0.015833333333333335,-2.984787702560425,0.9559239583333382
BIPIA,0.0,0.016666666666666666,-2.9487602710723877,0.9559239583333382
BIPIA,0.0,0.0175,-2.945763111114502,0.9559239583333382
BIPIA,0.0,0.018333333333333333,-2.9389991760253906,0.9559239583333382
BIPIA,0.0,0.019166666666666665,-2.931030511856079,0.9559239583333382
BIPIA,0.0,0.02,-2.925703525543213,0.9559239583333382
BIPIA,0.0,0.020833333333333332,-2.908313512802124,0.9559239583333382
BIPIA,0.0,0.021666666666666667,-2.857100009918213,0.9559239583333382
BIPIA,0.0,0.0225,-2.8564977645874023,0.9559239583333382
BIPIA,0.0,0.023333333333333334,-2.8527297973632812,0.9559239583333382
BIPIA,0.0,0.024166666666666666,-2.8252949714660645,0.9559239583333382
BIPIA,0.0,0.025,-2.8098912239074707,0.9559239583333382
BIPIA,0.0,0.025833333333333333,-2.7954466342926025,0.9559239583333382
BIPIA,0.0,0.02666666666666667,-2.787893772125244,0.9559239583333382
BIPIA,0.0,0.0275,-2.757352828979492,0.9559239583333382
BIPIA,0.0,0.028333333333333332,-2.748345375061035,0.9559239583333382
BIPIA,0.0,0.029166666666666667,-2.734853744506836,0.9559239583333382
BIPIA,0.0,0.03,-2.7278213500976562,0.9559239583333382
BIPIA,0.0,0.030833333333333334,-2.722428798675537,0.9559239583333382
BIPIA,0.0,0.03166666666666667,-2.721737861633301,0.9559239583333382
BIPIA,0.0,0.0325,-2.718031644821167,0.9559239583333382
BIPIA,0.0,0.03333333333333333,-2.708521842956543,0.9559239583333382
BIPIA,0.0,0.034166666666666665,-2.693946123123169,0.9559239583333382
BIPIA,0.0,0.035,-2.6855275630950928,0.9559239583333382
BIPIA,0.0,0.035833333333333335,-2.663027048110962,0.9559239583333382
BIPIA,0.0,0.03666666666666667,-2.6427817344665527,0.9559239583333382
BIPIA,0.0,0.0375,-2.6330149173736572,0.9559239583333382
BIPIA,0.0,0.03833333333333333,-2.6244888305664062,0.9559239583333382
BIPIA,0.0,0.03916666666666667,-2.6198530197143555,0.9559239583333382
BIPIA,0.0,0.04,-2.6100962162017822,0.9559239583333382
BIPIA,0.0,0.04083333333333333,-2.58970046043396,0.9559239583333382
BIPIA,0.0,0.041666666666666664,-2.58657169342041,0.9559239583333382
BIPIA,0.0,0.0425,-2.581711530685425,0.9559239583333382
BIPIA,0.0,0.043333333333333335,-2.577543258666992,0.9559239583333382
BIPIA,0.0,0.04416666666666667,-2.5711512565612793,0.9559239583333382
BIPIA,0.0,0.045,-2.5704078674316406,0.9559239583333382
BIPIA,0.0,0.04583333333333333,-2.5699946880340576,0.9559239583333382
BIPIA,0.0,0.04666666666666667,-2.546670436859131,0.9559239583333382
BIPIA,0.0,0.0475,-2.544374942779541,0.9559239583333382
BIPIA,0.0,0.04833333333333333,-2.5253281593322754,0.9559239583333382
BIPIA,0.0,0.049166666666666664,-2.5252811908721924,0.9559239583333382
BIPIA,0.0,0.05,-2.5250844955444336,0.9559239583333382
BIPIA,0.0,0.050833333333333335,-2.5246403217315674,0.9559239583333382
BIPIA,0.0,0.051666666666666666,-2.5188815593719482,0.9559239583333382
BIPIA,0.0,0.0525,-2.518238067626953,0.9559239583333382
BIPIA,0.0,0.05333333333333334,-2.51340389251709,0.9559239583333382
BIPIA,0.0,0.05416666666666667,-2.5102696418762207,0.9559239583333382
BIPIA,0.0,0.055,-2.501692771911621,0.9559239583333382
BIPIA,0.0,0.05583333333333333,-2.4967424869537354,0.9559239583333382
BIPIA,0.0,0.056666666666666664,-2.4816060066223145,0.9559239583333382
BIPIA,0.0,0.0575,-2.478588581085205,0.9559239583333382
BIPIA,0.0,0.058333333333333334,-2.465426445007324,0.9559239583333382
BIPIA,0.0,0.059166666666666666,-2.4542174339294434,0.9559239583333382
BIPIA,0.0,0.06,-2.4522922039031982,0.9559239583333382
BIPIA,0.0,0.060833333333333336,-2.441118001937866,0.9559239583333382
BIPIA,0.0,0.06166666666666667,-2.440048933029175,0.9559239583333382
BIPIA,0.0,0.0625,-2.437821626663208,0.9559239583333382
BIPIA,0.0,0.06333333333333334,-2.4341747760772705,0.9559239583333382
BIPIA,0.0,0.06416666666666666,-2.4251058101654053,0.9559239583333382
BIPIA,0.0,0.065,-2.4172606468200684,0.9559239583333382
BIPIA,0.0,0.06583333333333333,-2.41328501701355,0.9559239583333382
BIPIA,0.0,0.06666666666666667,-2.4119629859924316,0.9559239583333382
BIPIA,0.0,0.0675,-2.4086780548095703,0.9559239583333382
BIPIA,0.0,0.06833333333333333,-2.3842194080352783,0.9559239583333382
BIPIA,0.0,0.06916666666666667,-2.3819491863250732,0.9559239583333382
