dataset,data_path,model_path,samples_used,model_size_mb,load_time_ms,eval_total_ms,avg_latency_ms,p50_latency_ms,p95_latency_ms,python_peak_alloc_mb,rss_before_mb,rss_after_load_mb,rss_after_eval_mb,rss_delta_load_mb,rss_delta_eval_mb,ir,fpr,acc
InjecAgent,data\injecagent_wami.jsonl,wami_injecagent_current_e3.npz,1000,0.4433422088623047,41.90680000465363,11204.116499982774,11.201353903277777,10.656900005415082,17.375300056301057,1.7594194412231445,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BIPIA,data\bipia_wami.jsonl,wami_bipia_current_e3.npz,1000,0.4433422088623047,5.164999980479479,16990.43200002052,16.98772119730711,15.38800005801022,33.29419996589422,0.6598825454711914,0.0,0.0,0.0,0.0,0.0,1.0,0.012,0.994
AgentDojo,data\agentdojo_wami.jsonl,wami_agentdojo_current_e3.npz,653,0.4433422088623047,4.945300053805113,13928.435600013472,21.32737120897987,15.22210007533431,55.49900000914931,0.6598339080810547,0.0,0.0,0.0,0.0,0.0,0.8218694885361552,0.011627906976744186,0.8437978560490046
