dataset,variant,ir,fpr,acc,latency_ms,n
injecagent_wami,WAMI full,0.9587286527514232,0.0,0.9794472005669738,11.88129390502822,4233
injecagent_wami,w/o plan-level MINE,0.9454459203036053,0.0,0.9728325064965745,12.485149232224035,4233
injecagent_wami,w/o action-prior rules,0.885673624288425,0.5294117647058824,0.6772974249940941,10.929058114822581,4233
injecagent_wami,static threshold,0.9587286527514232,0.0,0.9794472005669738,10.822343515239796,4233
injecagent_wami,rules only,0.9297912713472486,0.0,0.9650366170564612,0.07323151429962854,4233
injecagent_wami,trajectory MINE only,0.8837760910815939,0.5294117647058824,0.6763524686983227,10.811935766595012,4233
bipia_wami,WAMI full,1.0,0.0008333333333333334,0.9995833333333334,12.366043958318187,2400
bipia_wami,w/o plan-level MINE,1.0,0.0008333333333333334,0.9995833333333334,10.911058875014229,2400
bipia_wami,w/o action-prior rules,0.9983333333333333,0.7658333333333334,0.61625,12.29430824998417,2400
bipia_wami,static threshold,1.0,0.0008333333333333334,0.9995833333333334,12.887355041651366,2400
bipia_wami,rules only,1.0,0.0,1.0,0.10872204167147477,2400
bipia_wami,trajectory MINE only,0.9983333333333333,0.7658333333333334,0.61625,10.804228166646984,2400
agentdojo_wami,WAMI full,1.0,0.011627906976744186,0.998468606431853,22.468516539021397,653
agentdojo_wami,w/o plan-level MINE,1.0,0.011627906976744186,0.998468606431853,22.737585604928896,653
agentdojo_wami,w/o action-prior rules,0.9982363315696648,0.4069767441860465,0.9448698315467075,21.888081010739114,653
agentdojo_wami,static threshold,1.0,0.011627906976744186,0.998468606431853,22.485901071949595,653
agentdojo_wami,rules only,0.746031746031746,0.0,0.77947932618683,0.093456967872857,653
agentdojo_wami,trajectory MINE only,0.9982363315696648,0.4069767441860465,0.9448698315467075,22.285167228128863,653
