dataset,fpr,tpr,threshold,auc
InjecAgent,0.0,0.0,-inf,0.7016268556758567
InjecAgent,0.0,0.0,-0.31124675273895264,0.7016268556758567
InjecAgent,0.0,0.0004743833017077799,-0.31082427501678467,0.7016268556758567
InjecAgent,0.0,0.0009487666034155598,-0.31065601110458374,0.7016268556758567
InjecAgent,0.0,0.0014231499051233396,-0.30988019704818726,0.7016268556758567
InjecAgent,0.0,0.0018975332068311196,-0.30951136350631714,0.7016268556758567
InjecAgent,0.0,0.0023719165085388993,-0.30917954444885254,0.7016268556758567
InjecAgent,0.0,0.0028462998102466793,-0.30481600761413574,0.7016268556758567
InjecAgent,0.0,0.003320683111954459,-0.3042196035385132,0.7016268556758567
InjecAgent,0.0,0.003795066413662239,-0.3010648488998413,0.7016268556758567
InjecAgent,0.0,0.004269449715370019,-0.29953277111053467,0.7016268556758567
InjecAgent,0.0,0.004743833017077799,-0.27066224813461304,0.7016268556758567
InjecAgent,0.0,0.005218216318785579,-0.2698681950569153,0.7016268556758567
InjecAgent,0.0,0.0056925996204933585,-0.26970720291137695,0.7016268556758567
InjecAgent,0.0,0.006166982922201139,-0.26714640855789185,0.7016268556758567
InjecAgent,0.0,0.006641366223908918,-0.2665107846260071,0.7016268556758567
InjecAgent,0.0,0.007115749525616698,-0.26516997814178467,0.7016268556758567
InjecAgent,0.0,0.007590132827324478,-0.2580956220626831,0.7016268556758567
InjecAgent,0.0,0.008064516129032258,-0.25786125659942627,0.7016268556758567
InjecAgent,0.0,0.008538899430740038,-0.24811017513275146,0.7016268556758567
InjecAgent,0.0,0.009013282732447819,-0.24659788608551025,0.7016268556758567
InjecAgent,0.0,0.009487666034155597,-0.24430835247039795,0.7016268556758567
InjecAgent,0.0,0.009962049335863378,-0.24310261011123657,0.7016268556758567
InjecAgent,0.0,0.010436432637571158,-0.2416006326675415,0.7016268556758567
InjecAgent,0.0,0.010910815939278937,-0.24120116233825684,0.7016268556758567
