epoch,loss,mine_bound,mi_gap,world_loss
1,1.5892363504359597,0.9549999738994398,2.042504847049713,3.318498310289885
2,0.8486482877480356,2.595622087779798,4.874700797231574,2.6829005668037818
3,0.7543775941196241,3.258259748157702,5.814277172088623,2.6325901684008146
4,0.7544224136754086,3.781987039666427,6.3768566533138875,2.594606537567942
5,0.6723454500499525,4.601205399161891,7.177639082858437,2.566982256738763
6,0.6302619670566759,4.990642999347887,7.480089990716231,2.5435566023776404
7,0.6410731641869796,5.119783250909102,7.5314062269110424,2.515486240386963
8,0.6326495283528378,5.192600174954063,7.462112953788356,2.5206340363151147
