dataset,mode,ir,fpr,acc,latency_ms,n
injecagent_wami,a,0.7836812144212524,0.058823529411764705,0.8627450980392157,42.84805849279177,4233
injecagent_wami,b,0.7371916508538899,0.17647058823529413,0.7805339003071108,42.84805849279177,4233
injecagent_wami,or,0.8311195445920304,0.17647058823529413,0.8273092369477911,42.84805849279177,4233
injecagent_wami,and,0.6897533206831119,0.058823529411764705,0.8159697613985353,42.84805849279177,4233
bipia_wami,a,0.9941666666666666,0.0016666666666666668,0.99625,37.87907212499704,2400
bipia_wami,b,0.9816666666666667,0.009166666666666667,0.98625,37.87907212499704,2400
bipia_wami,or,0.9941666666666666,0.009166666666666667,0.9925,37.87907212499704,2400
bipia_wami,and,0.9816666666666667,0.0016666666666666668,0.99,37.87907212499704,2400
agentdojo_wami,a,0.9841269841269841,0.23255813953488372,0.9555895865237366,66.38727534457522,653
agentdojo_wami,b,1.0,0.22093023255813954,0.9709035222052067,66.38727534457522,653
agentdojo_wami,or,1.0,0.29069767441860467,0.9617151607963247,66.38727534457522,653
agentdojo_wami,and,0.9841269841269841,0.16279069767441862,0.9647779479326187,66.38727534457522,653
