dataset,mode,ir,fpr,acc,latency_ms,n
injecagent_wami,a,0.7836812144212524,0.058823529411764705,0.8627450980392157,44.321301866297674,4233
injecagent_wami,b,0.6736242884250474,0.0,0.8374675171273328,44.321301866297674,4233
injecagent_wami,or,0.8059772296015181,0.058823529411764705,0.8738483345145287,44.321301866297674,4233
injecagent_wami,and,0.6513282732447818,0.0,0.8263642806520198,44.321301866297674,4233
bipia_wami,a,0.9941666666666666,0.0016666666666666668,0.99625,38.075579583334424,2400
bipia_wami,b,0.97,0.0,0.985,38.075579583334424,2400
bipia_wami,or,0.9941666666666666,0.0016666666666666668,0.99625,38.075579583334424,2400
bipia_wami,and,0.97,0.0,0.985,38.075579583334424,2400
agentdojo_wami,a,0.9841269841269841,0.23255813953488372,0.9555895865237366,66.53474869829094,653
agentdojo_wami,b,0.9947089947089947,0.16279069767441862,0.9739663093415007,66.53474869829094,653
agentdojo_wami,or,0.9982363315696648,0.2441860465116279,0.9663093415007658,66.53474869829094,653
agentdojo_wami,and,0.9805996472663139,0.1511627906976744,0.9632465543644717,66.53474869829094,653
