dataset,threshold,ir,fpr,acc
BIPIA,-2.9257567954063415,0.02,0.0,0.51
BIPIA,-2.4523499608039856,0.06,0.0,0.53
BIPIA,-2.258702266216278,0.1,0.0,0.55
BIPIA,-1.9251133680343628,0.19666666666666666,0.0033333333333333335,0.5966666666666667
BIPIA,-1.7255882143974304,0.29583333333333334,0.004166666666666667,0.6458333333333334
BIPIA,-1.5716811418533325,0.3933333333333333,0.006666666666666667,0.6933333333333334
BIPIA,-1.2675406336784363,0.58,0.02,0.78
BIPIA,-0.9448208928108215,0.7591666666666667,0.04083333333333333,0.8591666666666666
BIPIA,-0.5540429651737213,0.8933333333333333,0.10666666666666667,0.8933333333333333
