base_threshold,score_margin,use_plan_mine,use_action_prior,ir,fpr,acc,distance,n
-0.5,0.35,True,False,0.9041666666666667,0.009166666666666667,0.9475,0.020999999999999994,2400
-0.5,0.5,True,False,0.9041666666666667,0.006666666666666667,0.94875,0.023499999999999993,2400
-0.5,0.2,True,False,0.9058333333333334,0.021666666666666667,0.9420833333333334,0.023500000000000035,2400
-0.5,1.0,True,False,0.9033333333333333,0.004166666666666667,0.9495833333333333,0.025166666666666643,2400
-0.5,0.75,True,False,0.9041666666666667,0.005,0.9495833333333333,0.02516666666666666,2400
-0.5,0.1,True,False,0.9066666666666666,0.03833333333333333,0.9341666666666667,0.04099999999999994,2400
-0.5,0.05,True,False,0.91,0.051666666666666666,0.9291666666666667,0.057666666666666686,2400
-0.3,1.0,True,False,0.9508333333333333,0.015833333333333335,0.9675,0.06266666666666663,2400
-0.3,0.75,True,False,0.9508333333333333,0.0175,0.9666666666666667,0.0643333333333333,2400
-0.3,0.5,True,False,0.9508333333333333,0.024166666666666666,0.9633333333333334,0.07099999999999997,2400
-0.5,0.0,True,False,0.9133333333333333,0.065,0.9241666666666667,0.07433333333333332,2400
-0.3,0.35,True,False,0.9508333333333333,0.03666666666666667,0.9570833333333333,0.08349999999999996,2400
-0.2,1.0,True,False,0.9675,0.03,0.96875,0.09350000000000001,2400
-0.2,0.75,True,False,0.9675,0.0325,0.9675,0.09600000000000002,2400
-0.2,0.5,True,False,0.9675,0.045,0.96125,0.10850000000000001,2400
-0.3,0.1,True,True,1.0,0.015,0.9925,0.11099999999999999,2400
-0.3,0.2,True,True,1.0,0.015,0.9925,0.11099999999999999,2400
-0.3,0.0,True,True,1.0,0.015833333333333335,0.9920833333333333,0.11183333333333333,2400
-0.3,0.05,True,True,1.0,0.015833333333333335,0.9920833333333333,0.11183333333333333,2400
-0.3,0.35,True,True,1.0,0.014166666666666666,0.9929166666666667,0.11183333333333333,2400
-0.3,0.5,True,True,1.0,0.014166666666666666,0.9929166666666667,0.11183333333333333,2400
-0.3,0.75,True,True,1.0,0.014166666666666666,0.9929166666666667,0.11183333333333333,2400
-0.3,1.0,True,True,1.0,0.014166666666666666,0.9929166666666667,0.11183333333333333,2400
0.0,0.0,False,True,1.0,0.013333333333333334,0.9933333333333333,0.11266666666666665,2400
0.05,0.05,False,True,1.0,0.013333333333333334,0.9933333333333333,0.11266666666666665,2400
