epoch,loss,mine_bound,mi_gap,world_loss
1,1.2501460137190643,1.7948124673631456,3.5634920254901603,3.0643161756021007
2,0.6800219449732039,4.845646116468641,7.486617176621048,2.753573020299276
3,0.5706483467861458,6.626075815271448,9.259675273188838,2.6962046358320446
4,0.43863112286285116,8.238414552476671,10.550117669282136,2.673258551844844
5,0.39280591629169603,8.76796614682233,11.162718101784035,2.6311186066380254
6,0.39962077471945023,8.650482848838523,10.97696374963831,2.6309031468850597
7,0.40719656701441165,8.692711053071198,11.000523390593353,2.617026523307518
8,0.3885361839223791,8.699134791338885,11.000964411982784,2.5996720967469393
9,0.3853883941968282,8.736498320544207,11.007380485534668,2.5999253767508046
10,0.39181706419697515,8.779958371762875,11.04919359419081,2.614059050877889
11,0.39534080690807766,8.672163292213723,10.924726097672075,2.584745901602286
12,0.38856292102071976,8.718818276016801,10.999514862343117,2.5996128718058267
13,0.3818852459942853,8.846061918470594,11.140276167127821,2.5885206240194814
14,0.3860968185795678,8.764960253680194,11.067853221186885,2.5967061519622803
15,0.3838203935711472,8.743226793077257,10.93916384379069,2.6135838120071977
16,0.38484588817313864,8.793662318476924,11.142477847911694,2.612441795843619
17,0.3721146550443437,8.925973256429037,11.197023215117278,2.599166658189562
18,0.38089084073349283,8.699940646136248,10.97536129421658,2.5910698484491417
19,0.3859982468463756,8.862284413090459,11.130895438017669,2.6127869288126626
20,0.39057371241075023,8.763810104793972,11.037706622370967,2.6124668033034713
