dataset,threshold,ir,fpr,acc
InjecAgent,-0.226775598526001,0.020398481973434534,0.0,0.5121663123080558
InjecAgent,-0.18910304069519043,0.06024667931688805,0.0,0.5320103945192535
InjecAgent,-0.16451684832572935,0.10056925996204934,0.0,0.5520907158043941
InjecAgent,-0.1230104923248291,0.20113851992409867,0.0,0.602173399480274
InjecAgent,-0.09423526525497437,0.3012333965844402,0.0,0.6520198440822113
InjecAgent,-0.07960516214370728,0.35009487666034156,0.0,0.6763524686983227
InjecAgent,-0.047791123390197754,0.5023719165085389,0.058823529411764705,0.7226553271911174
InjecAgent,-0.03460049629211426,0.562618595825427,0.23529411764705882,0.6640680368532955
InjecAgent,-0.02306544780731201,0.6418406072106262,0.35294117647058826,0.6444601937160407
