dataset,method,ir,fpr,acc,latency_ms,total,attack_n,benign_n,num_copies
InjecAgent,SmoothLLM-style perturbation + qwen2.5:7b-instruct judge (3/3 vote),0.68,0.058823529411764705,0.717948717948718,0.1002410347135658,117,100,17,3
BIPIA,SmoothLLM-style perturbation + qwen2.5:7b-instruct judge (3/3 vote),0.33,0.02,0.655,0.2650844998424873,200,100,100,3
AgentDojo,SmoothLLM-style perturbation + qwen2.5:7b-instruct judge (3/3 vote),0.76,0.20930232558139536,0.7741935483870968,0.07789569871840618,186,100,86,3
